2026-02-05	51	U Cast Studios	John Kiriakou On Venezuela, The Maduro Trial, And More (The Talk Spot)	https://ucaststudios.libsyn.com/rss
2026-01-23	119	Tin Foil Hat With Sam Tripoli	#959: Spy Vs Spy With John Kiriakou	https://rss.libsyn.com/shows/467049/destinations/3949218.xml
2026-01-06	65	Moment of Clarity	Former CIA Officer John Kiriakou on Venezuela, 9/11 & More!	https://rss.amperwave.net/v2/feed/podcorn/1295984f1a3f61366d87e69dcbaec446
2026-01-03	61	Politics and Prose Presents	50 Years of Project Censored: State of the Free Press - Panel with Ryan Grim, Lauren Harper, John Kiriakou, Mischa Geracoulis, Joe Lauria - moderated by Mickey Huff	https://anchor.fm/s/10003f420/podcast/rss
2025-12-15	28	Going Underground Hosted by Afshin Rattansi	CIA Whistleblower John Kiriakou REVEALS ALL on US-Israel Alliance, Warns of DISASTER in Venezuela	https://feeds.castos.com/k4rk5
2025-12-11	55	The Unfettered Speech Podcast	EP:22 [GUEST] John Kiriakou : Inside The CIA: Torture, Coverups, And Consequences	https://feeds.redcircle.com/3b458b8a-d97e-498c-b043-54aac04f0ee3
2025-12-08	37	Judging Freedom	[EXCLUSIVE SPECIAL] : John Kiriakou: The CIA’s Tortures and Crimes.	https://rss.art19.com/judging-freedom
2025-11-22	34	American Exception	CIA Veterans and the Deep State – John Kiriakou and Barry Eisler	https://feed.podbean.com/aarontgood/feed.xml
2025-10-27	29	Talk With History: Discover Your History Road Trip	Military Service after 9/11 on the Deep Focus podcast with John Kiriakou	https://feeds.captivate.fm/talk-with-history/
2025-10-16	124	Seymizzle Podcast	Ask Ex-CIA agent and whistleblower John Kiriakou anything	https://anchor.fm/s/67e8620c/podcast/rss
2025-10-10	156	The Joe Rogan Experience	#2392 - John Kiriakou	https://feeds.megaphone.fm/GLT1412515089
2025-10-02	147	Truth Hurts Show	John Kiriakou: Exposing Epstein, Mossad, CIA Torture & the Blackmail Playbook	https://feed.ausha.co/YPv9ri8w0R7r
2025-09-16	35	The Disinfo Detox	Inside the CIA: Secrets, Scandals, and the Price of Whistleblowing W/ John Kiriakou	https://anchor.fm/s/1012ec3d4/podcast/rss
2025-09-10	113	WiseNuts Podcast	EP0343 John Kiriakou | CIA Whistleblower EXPOSES Shocking Truths About JFK, 9/11, and Israel's Secrets!	https://anchor.fm/s/d0bf998/podcast/rss
2025-09-06	36	Virtuous Leaders with Dr. Johann D'Souza	EP.82 – JOHN KIRIAKOU: CHOOSING TRUTH OVER CAREER—WOULD YOU? | COURAGE | FAITH UNDER FIRE | WHISTLEBLOWER | CATHOLIC VALUES	https://anchor.fm/s/dbba71ac/podcast/rss
2025-09-02	73	Yung Flamingo Club	Yung Flamingo Club: John Kiriakou	https://anchor.fm/s/4ed344f8/podcast/rss
2025-08-31	258	Dalton Fischer Podcast	Mossad, Terrifying CIA Technology, Blackwater & The Most Secret CIA Unit | John Kiriakou	https://rss.buzzsprout.com/2373344.rss
2025-07-25	88	GOLD SHIELDS	GOLD SHIELDS EPISODE 128: THE TRUE LIES OF THE CIA – CIA INSIDER JOHN KIRIAKOU EXPOSES ALL	https://rss.buzzsprout.com/2109780.rss
2025-07-21	63	Capital & Coast	JAILED for Exposing CIA Secrets | John Kiriakou	https://feed.podbean.com/capitalcoast/feed.xml
2025-07-11	84	Useful Idiots with Katie Halper and Aaron Maté	CIA Whistleblower John Kiriakou: "They DESTROYED Epstein Files”	https://feeds.redcircle.com/7090379b-af2f-4972-a14d-b4041f474ee4
2025-07-09	129	PBD Podcast	Epstein Cover-Up, Ghislaine Maxwell & Israel's Role w/ CIA Whistleblower John Kiriakou | PBD Podcast | Ep. 612	https://anchor.fm/s/2fa50a94/podcast/rss
2025-06-04	147	The Tucker Carlson Show	John Kiriakou: CIA’s Secret Torture Programs, MK-Ultra, 9-11, and Jailing Political Opponents	https://feeds.megaphone.fm/RSV1597324942
2025-06-01	145	The Tegan Broadwater Podcast	"NOT SILENCED" - The CIA and John Kiriakou - Stories Untold	https://feeds.castos.com/vo8m
2025-05-28	61	Change Agents with Andy Stumpf	How the War on Terror Created a New Generation of Enemies (with CIA Whistleblower John Kiriakou)	https://feeds.megaphone.fm/IRD8819642917
2025-05-21	91	Austin and Matt Podcast	#04 CIA Whistleblower John Kiriakou: The Truth They Tried to Bury 🇺🇸🕵️‍♂️	https://feed.podbean.com/austinandmatt/feed.xml
2025-05-19	60	The Free Thought Project Podcast	Guest: John Kiriakou — CIA Whistleblower on America’s Secret Drug Wars & Israel’s Shadow Grip on U.S. Politics	https://feed.podbean.com/thefreethoughtproject/feed.xml
2025-05-03	41	Crossing Faiths	162: John Kiriakou	https://feeds.fireside.fm/crossingfaiths/rss
2025-04-24	51	LA Progressive	John Kiriakou Speaks	https://api.substack.com/feed/podcast/382849.rss
2025-04-19	37	Trip the Beltway Fantastic With Kelley Vlahos and Friends	Why is Trump Making John Kiriakou so ‘Frightened and Disturbed’?	https://feeds.redcircle.com/4d07ef8e-d065-426b-899b-6cb174162c87
2025-04-19	76	The Big Mig Show	Ex-CIA & Founder of Panquake, John Kiriakou |EP531	https://anchor.fm/s/fc419e50/podcast/rss
2025-04-18	41	Colonial Outcasts	CIA Whistleblower John Kiriakou on Renditions to El Salvatore and the Coming Government Crackdown	https://anchor.fm/s/ef9dcb38/podcast/rss
2025-04-16	66	The Dr. Phil Podcast	Top Secrets: The CIA Torture Whistleblower John Kiriakou	https://rss.pdrl.fm/220f64/rss.art19.com/the-dr-phil-podcast
2025-04-07	61	Borderland: Narcosis with Vincent 'Rocco' Vargas	CIA Whistleblower Exposes the Agency’s Role in the Drug Trade (with John Kiriakou)	https://feeds.megaphone.fm/IRD7587717552
2025-04-01	107	The Clear Signal with Steve Visscher	John Kiriakou	https://feeds.captivate.fm/theclearsignal/
2025-03-29	44	Lionel Nation	Inside the CIA: Whistleblower John Kiriakou Reveals What You Were NEVER Meant to Know	https://back.studeo.fm/podcasts/132/rss-feeds
2025-03-26	61	Podcast UFO	656B. Former CIA, John Kiriakou	https://www.spreaker.com/show/5922140/episodes/feed
2025-03-15	60	The Jack Hopkins Show Podcast	From Spy to Whistleblower: John Kiriakou's Journey Inside the CIA's Torture Program	https://rss.buzzsprout.com/2327729.rss
2025-03-01	59	Lehto Files - Investigating UAPs	CIA Whistleblower John Kiriakou on UAP Crash Retrieval & Government Secrecy	https://feeds.captivate.fm/lehtofiles/
